id,Dept,Commune,Adresse,Date vente,Année construct.,Nb Pièces,Surface terrain(m²),Surface utile(m²),Prix(€),Prix/m²(€) Surface utile
528.0,44.0,ST SEBASTIEN SUR LOIRE, RUE DU CLOS TOREAU,2021-01-01,1954,5,294,90.0,390500,"4338,89"
529.0,44.0,ST SEBASTIEN SUR LOIRE, CHE DU COLOMBAGE,2021-01-01,1850,4,117,91.0,360000,"3956,04"
530.0,44.0,ST SEBASTIEN SUR LOIRE, RUE ELISA MERCOEUR,2021-01-01,1955,4,303,91.0,392000,"4307,69"
531.0,44.0,ST SEBASTIEN SUR LOIRE, B RUE DE LA GIBRAYE,2021-01-01,1950,4,386,89.0,383570,"4309,78"
532.0,44.0,ST SEBASTIEN SUR LOIRE, RUE DE L OUCHE COLIN,2021-01-01,1936,6,1 154,90.0,560000,"6222,22"
533.0,44.0,ST SEBASTIEN SUR LOIRE, RUE DE LA PYRAMIDE,2021-01-01,1986,5,234,91.0,315000,"3461,54"
534.0,44.0,NANTES, RUE DE L AVENIR,2021-01-01,2013,4,148,92.0,410000,"4456,52"
535.0,44.0,NANTES, RTE DE CLISSON,2021-01-01,1850,4,1 190,93.0,428450,"4606,99"
536.0,44.0,NANTES, RUE CDT HENRI VIOT,2021-01-01,1963,3,288,92.0,645000,"7010,87"
537.0,44.0,NANTES, PL EILEEN GRAY,2021-01-01,2011,4, ,93.0,315000,"3387,10"
538.0,44.0,NANTES, RUE DU GOIS,2021-01-01,1979,3,255,92.0,596025,"6478,53"
539.0,44.0,NANTES, RUE GUIBAL,2021-01-01,1890,4,82,92.0,280000,"3043,48"
540.0,44.0,NANTES, AV JACQUES AUNEAU,2021-01-01,1922,4,212,92.0,475000,"5163,04"
541.0,44.0,NANTES, RUE JACQUES CHAMBON,2021-01-01,1949,4,214,92.0,505000,"5489,13"
542.0,44.0,NANTES, AV JEANNE JUGAN,2021-01-01,1935,3,446,92.0,480000,"5217,39"
543.0,44.0,NANTES, RUE DE LA LUNE D'EAU,2021-01-01,2018,4,460,91.0,462135,"5078,41"
544.0,44.0,NANTES, RUE DE LA MELINIERE,2021-01-01,1939,3,163,92.0,500000,"5434,78"
545.0,44.0,NANTES, RUE DES PAVILLONS,2021-01-01,1900,5,125,91.0,355000,"3901,10"
546.0,44.0,NANTES, B RUE DE LA RIPOSSIERE,2021-01-01,2011,4,227,93.0,360000,"3870,97"
547.0,44.0,NANTES, B RUE DE LA RIPOSSIERE,2021-01-01,2011,4,230,93.0,383000,"4118,28"
548.0,44.0,REZE, RUE ALEXANDRE HUCHON,2021-01-01,1961,5,272,93.0,330262,"3551,21"
549.0,44.0,REZE, RUE DE LA CHESNAIE,2021-01-01,1966,5,495,91.0,290000,"3186,81"
550.0,44.0,REZE, RUE DE LA COMMUNE DE ,2021-01-01,1900,4,78,91.0,273000,"3000,00"
551.0,44.0,REZE, RUE DU DOCTEUR NOGUES,2021-01-01,1900,4,395,92.0,365000,"3967,39"
552.0,44.0,REZE, RUE MAURICE LAGATHU,2021-01-01,1929,4,439,92.0,315000,"3423,91"
553.0,44.0,REZE, B ALL DU PARC DES MAHAUDIERES,2021-01-01,2010,4,300,91.0,285000,"3131,87"
554.0,44.0,REZE, IMP DES PELOUEES,2021-01-01,1986,5,333,91.0,340000,"3736,26"
555.0,44.0,ST-HERBLAIN, RUE EMILE ZOLA,2021-01-01,1979,6,350,93.0,300000,"3225,81"
556.0,44.0,ST SEBASTIEN SUR LOIRE, RUE DE LA BAUGERIE,2021-01-01,1987,4,531,93.0,348533,"3747,66"
557.0,44.0,ST SEBASTIEN SUR LOIRE, CHE DU COLOMBAGE,2021-01-01,1850,4,117,91.0,360000,"3956,04"
558.0,44.0,ST SEBASTIEN SUR LOIRE, RUE ELISA MERCOEUR,2021-01-01,1955,4,303,91.0,392000,"4307,69"
559.0,44.0,ST SEBASTIEN SUR LOIRE, RUE MAURICE DANIEL,2021-01-01,1928,4,506,92.0,555000,"6032,61"
560.0,44.0,ST SEBASTIEN SUR LOIRE, RUE DE LA PYRAMIDE,2021-01-01,1986,5,234,91.0,315000,"3461,54"
561.0,44.0,BOUGUENAIS, RUE MARYSE BASTIE,2021-01-01,1966,5,450,95.0,280000,"2947,37"
562.0,44.0,BOUGUENAIS, RUE PASTEUR,2021-01-01,1953,4,684,95.0,420000,"4421,05"
563.0,44.0,NANTES, RUE BRANLY,2021-01-01,1934,4,170,95.0,400000,"4210,53"
564.0,44.0,NANTES, IMP CARRIERE DE VILLENEUVE,2021-01-01,2018,5,170,95.0,510000,"5368,42"
565.0,44.0,NANTES, RTE DE CLISSON,2021-01-01,1850,4,1 190,93.0,428450,"4606,99"
566.0,44.0,NANTES, B BD DE L EGALITE,2021-01-01,1920,4,79,95.0,382000,"4021,05"
567.0,44.0,NANTES, PL EILEEN GRAY,2021-01-01,2011,4, ,93.0,315000,"3387,10"
568.0,44.0,NANTES, AV GILBERT BAUDUZ,2021-01-01,1900,4,164,95.0,540000,"5684,21"
569.0,44.0,NANTES, RUE JEAN BOUIN,2021-01-01,1961,5,272,95.0,380000,"4000,00"
570.0,44.0,NANTES, RTE DE LA JONELIERE,2021-01-01,1900,3,93,95.0,322570,"3395,47"
571.0,44.0,NANTES, BD JULES VERNE,2021-01-01,2000,5, ,95.0,230100,"2422,11"
572.0,44.0,NANTES, ALL MATHIAS SANDORF,2021-01-01,1981,4, ,94.0,396500,"4218,09"
573.0,44.0,NANTES, RUE DE LA METHODE,2021-01-01,1924,4,224,94.0,434620,"4623,62"
574.0,44.0,NANTES, RUE DE LA METHODE,2021-01-01,1925,4,174,95.0,550000,"5789,47"
575.0,44.0,NANTES, AV DE LA MUSTAUDIERE,2021-01-01,1972,4,512,95.0,320000,"3368,42"
576.0,44.0,NANTES, RUE DE LA PAPOTIERE,2021-01-01,1976,5,655,95.0,635000,"6684,21"
577.0,44.0,NANTES, B RUE DE LA RIPOSSIERE,2021-01-01,2011,4,227,93.0,360000,"3870,97"
578.0,44.0,NANTES, B RUE DE LA RIPOSSIERE,2021-01-01,2011,4,230,93.0,383000,"4118,28"
579.0,44.0,NANTES, RUE DES SIX AQUEDUCS,2021-01-01,1983,4,245,94.0,500000,"5319,15"
580.0,44.0,NANTES, RUE STENDHAL,2021-01-01,1937,6,417,94.0,479000,"5095,74"
581.0,44.0,ORVAULT, RUE DES BOUTONS D OR,2021-01-01,1999,6,174,94.0,340000,"3617,02"
582.0,44.0,REZE, RUE ALEXANDRE HUCHON,2021-01-01,1961,5,272,93.0,330262,"3551,21"
583.0,44.0,REZE, RUE FELICIEN THOMAZEAU,2021-01-01,1900,4,357,95.0,320000,"3368,42"
584.0,44.0,ST-HERBLAIN, AV DE LA BARAUDIERE,2021-01-01,2020,6,152,94.0,404096,"4298,89"
585.0,44.0,ST-HERBLAIN, RUE EMILE ZOLA,2021-01-01,1979,6,350,93.0,300000,"3225,81"
586.0,44.0,ST-HERBLAIN, RUE DE LA GAROTTERIE,2021-01-01,1972,4,387,95.0,288000,"3031,58"
587.0,44.0,ST-HERBLAIN, RUE MICHEL DELALANDE,2021-01-01,1972,4,398,95.0,278000,"2926,32"
588.0,44.0,ST SEBASTIEN SUR LOIRE, RUE DE LA BAUGERIE,2021-01-01,1987,4,531,93.0,348533,"3747,66"
589.0,44.0,ST SEBASTIEN SUR LOIRE, RUE DES CORBIERES,2021-01-01,1974,5,435,95.0,350273,"3687,08"
590.0,44.0,ST SEBASTIEN SUR LOIRE, RUE DE LA CROIX SOURDEAU,2021-01-01,1976,5,1 118,95.0,300000,"3157,89"
591.0,44.0,BOUGUENAIS, RUE MARYSE BASTIE,2021-01-01,1966,5,450,95.0,280000,"2947,37"
592.0,44.0,BOUGUENAIS, RUE PASTEUR,2021-01-01,1953,4,684,95.0,420000,"4421,05"
593.0,44.0,NANTES, AV DES ANTILOPES,2021-01-01,1990,6,469,97.0,416000,"4288,66"
594.0,44.0,NANTES, RUE DU BOIS HARDY,2021-01-01,1963,4,394,97.0,543854,"5606,74"
595.0,44.0,NANTES, RUE BRANLY,2021-01-01,1934,4,170,95.0,400000,"4210,53"
596.0,44.0,NANTES, IMP CARRIERE DE VILLENEUVE,2021-01-01,2018,5,170,95.0,510000,"5368,42"
597.0,44.0,NANTES, B BD DE L EGALITE,2021-01-01,1920,4,79,95.0,382000,"4021,05"
